title,material_name,Activation energy,Active Catalytic Sites,Active density,Active sites,Activity,Amperometric,Amplitude,Annealing temperature,Antipoisoning,Atomic content,Atomic ratio,Average CNT diameter,Average outer diameter,Average pore diameter,Average pore size,BET specific surface area,BET surface area,Band gap,Benchmark,Bifunctional electrocatalyst,Bifunctional performance parameter (_E),Bond length,C-O concentration,C=O concentration,CO yield,CO2 Electro-reduction rate,CO2 Electroreduction,CO2 Reduction,CV,Catalyst,Catalyst loading,Catalytic activity comparison,Catalytic ozonation,Cathode Catalyst Activity,Cathode catalyst,Cathodic Catalyst,Cathodic peak potential,Cdl,Charge current density,Charge transfer resistance,Charge voltage,Charge-transfer resistance,Charge__ischarge voltage gap,Chemical resistance,Co/Fe molar ratio,Co2+/Co3+ ratio,Cobalt content,Conductivity,Content,Conversion rate,Coordination number,Crystal plane angle,Curing Behavior,Current density,Current density at 0.5 V,Current density at 500 mV overpotential,Current density loss,Current retention,Cycle stability,Decomposition temperature,Decoration,Defect,Degradation characteristics,Degradation mechanism,Depth,Depth variation,Diameter,Diameter of quartz tube,Diffusion-limited current density,Diffusion-limiting current,Diffusion-limiting current density,Discharge current density,Discharge specific capacity,Discharge voltage,Dopant,Doping,Double-layer capacitance,Durability,E-SSA,E1/2 shift,ECSA,ECSA loss,EXAFS,EXAFS Fe peak position,EXAFS Ni peak position,EXAFS peak,EXAFS peak position,Efficiency,Electric conductivity,Electrical conductivity,Electroactivity,Electrocatalysis,Electrocatalyst,Electrocatalyst activity,Electrocatalytic Activity,Electrocatalytic Oxygen Evolution Reaction,Electrocatalytic Properties,Electrocatalytic Reduction,Electrocatalytic activity,Electrocatalytically Active Components,Electrochemical Biosensing,Electrochemical CO2 Reduction,Electrochemical CO2 reduction,Electrochemical Degradation,Electrochemical Performance,Electrochemical Reduction,Electrochemical Water Oxidation,Electrochemical active surface area,Electrochemical activity,Electrochemical double-layer capacitance,Electrochemical double-layer capacitances (Cdl),Electrochemical performance,Electrochemical stability,Electrochemical surface area,Electrochemically active surface area,Electrode efficiency,Electrode modifier,Electrode potential,Electrode potential difference,Electromagnetic Wave Absorption,Electron transfer number,Electron transport resistance,Electron-transfer number,Energy barrier,External surface area,Extreme Oxygen Sensitivity,FT-EXAFS,FT-EXAFS peak,FT-IR peak,FTIR,Faradaic Efficiency,Faradaic efficiency,Faraday efficiency,Faradic efficiency,Fe 2p peak,Fe 2p peaks,Fe content,Fe content by XPS,Fe loading,Fe:Ni mole ratio,Fermi level difference,Fermi level increase,Ferrocene Concentration,Flow rate of Ar/H2,Flow rate of precursors,Geometric surface area,Graphitic N content,Gravimetric energy density,Growth Temperature,Growth method,H2O2 yield,Half wave potential,Half-wave potential,Heat treatment temperature,Heating rate,Hydrogen Peroxide Production,Hydrogen coverage,Hydrophobicity,ICP-MS Fe content,ICP-MS Ni content,ID/IG ratio,Id/Ig ratio,Impact,Inner diameter,Intensity ratio,Inter-planar distance,Inter-tube distance,Interlayer distance,Interlayer spacing,Intermediate Adsorption,Interplanar distance,Interplanar spacing,Intrinsic Activity,Iron concentration,Kinetic,Kinetic current density,LSV curves,Lattice Alkalinity,Lattice distance,Lattice fringes,Lattice spacing,Layer thickness,Length,Length of quartz tube,Limiting current density,Magnetic properties,Mass Production,Mass activity,Mass loading,Mass ratio,Material derived from,Material type,Mesopore surface area,Metal-free Electrocatalyst,Micropore area,Micropore surface area,Micropore volume,Microstructure Engineering,MnO2 loading,Morphological Variation,Morphology,Multifunctional Effects,N atomic content,N concentration,N content,N doping level,N functionalities,N/C atomic ratio,N/C ratio,N1 concentration,N2 concentration,N3 concentration,NA,Ni single-atom content,Nitrogen concentration,Nitrogen content,Note,Number of electron transfer,O/C atomic ratio,O/C ratio,O2 reduction catalysis,OER activity,OER catalytic performance,OER current density,OER onset potential,OER overpotential,OER performance,OER stability,ORR activity,ORR activity decay,ORR current density,ORR half-wave potential,ORR kinetic current density,ORR onset potential,ORR pathway,ORR peak,ORR peak potential,ORR performance,ORR potential,ORR rate constant,ORR reduction peak,Onset overpotential,Onset potential,Open circuit voltage,Open-circuit voltage,Operational durability,Optimized Fe content,Outer diameter,Overall Water Splitting,Overpotential,Overpotential at 10 mA cm²,Overpotential at 100 mA/cm²,Overpotential at 20 mA/cm²,Overvoltage,Oxygen Evolution,Oxygen Evolution Electrocatalysts,Oxygen Evolution Reaction,Oxygen Evolution Reaction (OER),Oxygen Evolution Reaction Activity,Oxygen Evolution Reaction Electrocatalysis,Oxygen Evolution Reaction Performance,Oxygen Evolution Reaction activity,Oxygen Evolution/Reduction Reactions,Oxygen Reduction,Oxygen Reduction Activity,Oxygen Reduction Catalytic Activity,Oxygen Reduction Electrocatalyst,Oxygen Reduction Performance,Oxygen Reduction Reaction,Oxygen Reduction Reaction Catalyst,Oxygen Reduction Reaction Catalysts,Oxygen Reduction Reaction Performance,Oxygen Reduction Reaction activity,Oxygen Reduction and Evolution Reactions,Oxygen evolution reaction activity,Oxygen reduction reaction,Oxygen reduction reaction activity,Oxygen vacancies,Oxygen-Rich Functional Groups,Oxygen-rich Functional Groups,Particle size,Peak power density,Performance,Peroxide yield,Phonon Dispersion Relations,Photocatalytic Hydrogen Production,Photocatalytic Water Splitting,Photocatalytic activity,Photodegradation performance,Pore Structure,Pore diameter,Pore size,Pore volume,Potential at current density,Potential difference,Potential window,Power density,Pt content,Pt loading,Pyridine-N-oxide content,Pyridinic N concentration,Pyridinic N content,Pyrolysis temperature,Pyrrolic N content,Quaternary N content,Raman,Raman D band,Raman D band position,Raman D-band,Raman G band,Raman G band position,Raman G-band,Raman ID/IG ratio,Raman Spectroscopy,Raman peak,Raman peak bandwidth,Raman peak position,Raman peak positions,Raman spectra,Rct,Reaction current,Reactivity,Reduction,Reduction peak,Reduction peak potential,Reduction potential,Rmicro/meso,Roughness factor,S content,S/C ratio,SEM,SSA,Selectivity,Sensitive nonenzymatic detection,Sheet resistance,Size,Specific Surface Area,Specific activity per pyridinic N,Specific activity per pyridinic N at 0.5 V,Specific capacity,Specific surface area,Stability,Substitutional Nitrogen Impurity,Surface area,Surface site availability,Surface wettability,Synergistic Catalyst,TEM,TGA,TOF,Tafel slope,Temperature,Temperature range for synthesis,Text index,Thermo stability,Thermoelectric properties,Thickness,Tolerance,Topographic height,Total pore volume,Transferred electron number,Triiodide reduction efficiency,Tube diameter,Turnover frequency,UPS,UV-vis absorption,UV-vis absorption peak,UV__is absorption,Weight remaining,Width,Work function,XANES,XANES peak,XANES peak position,XANES pre-edge peak,XPS,XPS atomic concentration,XPS atomic percentage,XPS peak,XPS peak position,XPS peak shift,XRD,XRD peak,XRD peak position,Zn/Co ratio,absorption band,activation energy,actual weight ratio,adsorption energy of *OH,adsorption energy of *OOH,adsorption free energy,annealing temperature,areal current density,atomic concentration,atomic content,atomic ratio,average electron transfer number,band gap,bifunctional catalyst,bifunctional electrocatalysts,blue luminescence,capacity retention,catalyst efficiency,catalyst loading,catalytic current,catalytic current density,charge transfer resistance,charge-transfer impedance,charge-transfer resistance,compound dynamism,conductivity,coordination number,crystallite size,current density,current density at 500 mV overpotential,current density at OER overpotential of 500 mV,current density retention,current reduction,current reduction after 50h,current reduction after chronoamperometric test,current reduction after steady-state,current stability,d-spacing,depth,depth variation,diameter,diffusion-limited current,diffusion-limited current density,diffusion-limiting current,diffusion-limiting current density,discharge specific capacity,discharge voltage,double-layer capacitance,durability,electrocatalytic activity,electrocatalytic selectivity,electrochemical active surface area,electron transfer mechanism,electron transfer number,electron transport resistance,electron-transfer number,graphitic N concentration,half wave potential,half wave potential loss,half-wave potential,half-wave potential shift,interlayer distance,interlayer spacing,kinetic current density,lattice distance,lattice parameter,lattice spacing,layer number,layer thickness,length,limiting current density,limiting potential,long-term operation stability,long-term stability,long-term stability shift,long-time stability,magnetic properties,mass activity,mass loading,maximum FE,mesopore volume,methanol tolerance,micropore area,micropore volume,micropore/mesopore ratio,nitrogen content,onset overpotential,onset potential,onset potential shift,open-circuit voltage,operational stability,outer diameter,overpotential,overpotential at 10 mA cm²,overpotential at 10 mA cm_2,overpotential for current density,overpotential increase,oxidized S content,oxygen evolution,oxygen reduction peak,peak potential,peak power density,performance decrease,performance decrease after continuous HER process,peroxide yield,pore diameter,pore size,pore volume,potential at 10 mA cm_2,potential difference,power density,pyridinic N concentration,pyridinic N content,pyrrolic N concentration,reduction peak,roughness factor,selectivity,size,specific capacity,specific surface area,stability,steady-state current density change,steady-state diffusion current,structural properties,surface area,theoretical overpotential,thermal stability,thiophene S content,topographic height,transferred electron number,tube diameter,turnover frequency,visual detection,_E,_E value
Edgesited_FeN4_atomic_species_improve_oxygen_reduc,E-FeNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0 (at 1.0 V),,,,,,,,,,,,,,,,,,,,,,,,,,,39.5 (NA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.65 (0.1 to 0.8 V vs RHE, RRDE measurements)",,,,,,,,,,,,,,,,0.37 (ICP-AES),,,,,,,,,,,660.3 (NA),,,,,91.0 (0.1 M HClO4 solution),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.98 (t-plot method),,0.02 (t-plot method),,,,,,,,4.09 (elemental mapping),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45 (Zn-air battery),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9 (NA),,,,,,,,7.8 (N2 adsorption-desorption isotherms),,,,,151.6 (NA),,,,,,,,,,,,,,,,1.11 (Raman spectra),,,,,,,,,,,,,,,,,,,,,,,,,,,710.0 (galvanostatic discharge at 50 mA cm-2),,None (used in ZABs),,1168.0 (N2 adsorption-desorption isotherms),,,,,,,"62.0 (O2 reduction, LSV curves)",,,,,,,,,2.65 (N2 adsorption-desorption isotherms),,,,,,,,,,,,7132.6 (between Fe foil (7131.4 eV) and Fe2O3 (7133.7 eV)),,,7132.6 (XANES),,,,,,,,26.0 (characteristic of C-graphene),,,,,,,,,,,,,,,,,,,200.0 (rechargeable ZAB coupled with NiFe layered double hydroxide (LDH)),,,,,,,,,,,,"4.29 (at 0.4 V, LSV, RDE)",,,,,,,,,,,,,,,,,,,,,,,,,3.9 (RRDE measurements from 0.1 to 0.8 V vs RHE),,,,,,"0.837 (vs RHE, in 0.1 M KOH, LSV, RDE)",,,,"0.64 (at 0.9 V vs RHE, LSV)",0.342 (HRTEM),,,,,,"5.27 (at 0.4 V, LSV, RDE)",,,,,91.4 (chronoamperometric measurement after 20000 s),,,,,,,48.98 (t-plot method),0.02 (t-plot method),,,,,,,,,,,,,,,,,,,,,32.9 (RRDE measurements in whole potential range),10.0 (HRTEM),,,,,151.6 (in Zn-air battery),,,,,,,,710.0 (in Zn-air battery),,,,,,,,,,,,,,,,
Edgesited_FeN4_atomic_species_improve_oxygen_reduc,Pt/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"78.5 (20000 s, chronoamperometric measurement)",,,,,,,,,,,,,,,,,,,,,,,,,,,48.8 (NA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.96 (0.1 to 0.8 V vs RHE, RRDE measurements)",,,,,,,,,,,,,,,,,,,,,,,,,,,442.5 (NA),,,,,91.0 (0.1 M HClO4 solution),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46 (Zn-air battery),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9 (NA),,,,,,,,,,,,,121.5 (NA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491.7 (NA),,,,,,,,,,,"64.0 (O2 reduction, LSV curves)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.98 (RRDE measurements from 0.1 to 0.8 V vs RHE),,,,,,"0.859 (in 0.1 M KOH, LSV, RDE)",,,,"2.49 (at 0.85 V, LSV)",,,,,,,"5.35 (at 0.4 V, LSV, RDE)",,,,,78.5 (chronoamperometric measurement after 20000 s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edgesited_FeN4_atomic_species_improve_oxygen_reduc,RuO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edgesited_FeN4_atomic_species_improve_oxygen_reduc,E-NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.5 (NA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.62 (0.1 to 0.8 V vs RHE, RRDE measurements)",,,,,,,,,,,,,,,,0.07 (ICP-AES),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.81 (elemental mapping),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.1 (NA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.95 (at 0.4 V, LSV, RDE)",,,,,,,,,,,,,,,,,,,,,,,,,2.85 (RRDE measurements from 0.1 to 0.8 V vs RHE),,,,,,"0.66 (in 0.1 M KOH, LSV, RDE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.1 (RRDE measurements in whole potential range),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon_nanotubes_with_rich_pyridinic_nitrogen_for_,Nitrogen doped carbon nanotubes (NCNTs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0 (maximum current efficiency for CO formation at a potential of -0.9 V vs RHE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0 (gas phase CO2 electrolysis),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0 (added to the solution),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26 (low overpotential for CO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," (['Fig. 2d', 'D-band', 'G-band'])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," (['(100) plane', 'assigned to the (002) plane', 'assigned to the (100) plane', 'Fig. 2c', '(002) plane', 'assigned to the (004) plane', '(004) plane'])",,,,,,,,,,,,,,,,,,,,,,,,,,62.0 (at -0.6 V vs RHE),,,,,,9.7 (at -0.7 V vs RHE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4 (in CO2 saturated 0.5 M NaHCO3 solution),,,,,0.3 (in CO2 saturated 0.5 M NaHCO3 solution),,,,,,,,,,,,,,,,,,,,0.78 (at pyrolysis temperature of 300°C),,,,,,,,,,,,,,,,,,,,,,
3D_Porous_FeNC_Spherical_Nanostructures_As_HighPer,Pt/C (benchmark),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1 (under potential range of 0.2_0.7 V),,1.2 (in O2-saturated 0.5 M H2SO4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None (NA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0 (in O2-saturated 0.5 M H2SO4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15 (at 0.85 V in O2-saturated 0.1 M KOH),,,,,,,,,,,,,,,,,,,,,,,,,3.93 (in acidic medium),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0 (in 0.5 M H2SO4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D_Porous_FeNC_Spherical_Nanostructures_As_HighPer,Fe30NC-Ar700-NH3-45% (new materails reported),,,,,,,,,,,,,,,,,536.3 (including micropores and mesopores),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.43 (at 0.85 V vs RHE in O2-saturated 0.1 M KOH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725.0 (XPS analysis),725.0 (XPS measurement),7.0 (optimized content for ORR performance),2.0 (XPS measurement),,,,,,,,,,,,,6.5 (under potential range of 0.2_0.7 V),,0.87 (in alkaline solution),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.6 (part of total BET surface area),,,435.7 (part of total BET surface area),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0 (calculated from pyrolysis parameters),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.7 (XPS measurement),950.0 (in NH3),,,,,,,,,,,,,,,,,,,,,,,,4.33 (ratio of micropore to mesopore surface area),,,,,,,,,,,,,,,,,,,,,,,,62.0 (in O2-saturated 0.5 M H2SO4),,,,,,,,,,,,,,,,,,45.0 (after NH3 pyrolysis),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.43 (at 0.85 V in O2-saturated 0.1 M KOH),,,,,,,,,,,,,,,,,,,,,,,,,3.89 (in acidic medium),,,,,,0.87 (in 0.1 M KOH),,,,,,,,,,,,,,,,,,,,,,,,,4.33 (NA),,,,30.0 (in 0.5 M H2SO4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D_Porous_FeNC_Spherical_Nanostructures_As_HighPer,Fe20NC-ArT-NH3-30% (new materials @ dffirent condition),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.0 (in 0.1 M KOH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D_Porous_FeNC_Spherical_Nanostructures_As_HighPer,Fe/N/C,,None (for the Oxygen Reduction Reaction),,None (Oxygen Reduction Reaction),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None (in Polymer Electrolyte Fuel Cells),,,,None (derived from a porphyrinic coordination network),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None (used to reduce oxygen at the cathode of PEM fuel cells),,1200.0 (NA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D_Porous_FeNC_Spherical_Nanostructures_As_HighPer,Fe/Fe3C__ Nanorods,,,,None (Oxygen Reduction Reaction),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
